Company Name,Price,High,Low,Pct Increase
Star Cement Ltd.,87.75,102.5,56,56.69642857
Sterlite Technologies Ltd.,145,174.75,59.8,142.4749164
Strides Pharma Science Ltd.,677.15,764.6,271,149.8708487
Sudarshan Chemical Industries Ltd.,452.75,538,286.25,58.16593886
SUMITOMO CHEMICAL INDIA LIMITE Ltd.,276.5,317.45,0,27650
Sun Pharmaceutical Industries Ltd.,518,564.9,315.2,64.34010152
Sun Pharma Advanced Research Company Ltd.,166.75,210.7,81,105.8641975
Sun TV Network Ltd.,416.2,515.65,259.8,60.20015396
Sundram Fasteners Ltd.,495.45,533,249,98.97590361
Sunteck Realty Ltd.,267.7,457.7,145,84.62068966
Suprajit Engineering Ltd.,189.15,220,100,89.15
Supreme Industries Ltd.,1445,1499.8,791.15,82.64551602
Suzlon Energy Ltd.,3.83,6.19,1.65,132.1212121
Swan Energy Ltd.,133.75,158.3,97,37.88659794
Symphony Ltd.,839,1407.35,690,21.5942029
Syngene International Ltd.,574.45,596.85,201.65,184.874783
Tamil Nadu Newsprint and Papers Ltd.,104.85,198.7,85,23.35294118
Tasty Bite Eatables Ltd.,11455,13747.1,7442.55,53.91230156
Tata Chemicals Ltd.,322.85,345.8,197.4,63.55116515
Tata Coffee Ltd.,102.6,119.8,47.1,117.8343949
Tata Communications Ltd.,998.5,1063.85,205.7,385.4156539
TATA Consumer Products Ltd.,518.25,591.75,214,142.1728972
Tata Elxsi Ltd.,1516.45,1709.9,501,202.6846307
Tata Investment Corporation Ltd.,900.5,1025,592.15,52.07295449
Tata Metaliks Ltd.,580,688,311.4,86.25561978
Tata Motors Ltd.,158,201.8,63.6,148.427673
Tata Power Company Ltd.,57.65,63.45,27,113.5185185
Tata Steel Ltd.,522.8,530.8,250.9,108.3698685
TCNS Clothing Co Ltd.,411.8,749.5,300.4,37.08388815
Tata Consultancy Services Ltd.,2666.2,2885,1504.4,77.22680138
TeamLease Services Ltd.,2380.8,2908,1421.35,67.50272628
Tech Mahindra Ltd.,843.25,887.5,470.25,79.3195109
Thermax Ltd.,792.1,1119,644,22.99689441
Thyrocare Technologies Ltd.,1036.7,1212,410,152.8536585
